Execution,Persistence,Privilege Escalation,Defense Evasion,Credential Access,Discovery,Lateral Movement,Collection,Exfiltration,Others/Uncategorised
atbroker.exe,netsh.exe,,bitsadmin.exe,cmdkey.exe,wmic.exe,,bitsadmin.exe,,
bash.exe,sc.exe,,certutil.exe,diskshadow.exe,,,esentutl.exe,,csc.exe
bitsadmin.exe,,,cmstp.exe,nltest.exe,,,expand.exe,,
cmstp.exe,,,control.exe,rpcping.exe,,,extrac32.exe,,
control.exe,,,cscript.exe,,,,findstr.exe,,
cscript.exe,,,esentutl.exe,,,,print.exe,,
dfsvc.exe,,,expand.exe,,,,psr.exe,,
diskshadow.exe,,,extract32.exe,,,,replace.exe,,
dnscmd.exe,,,findstr.exe,,,,robocopy.exe,,
explorer.exe,,,forfiles.exe,,,,,,
extexport.exe,,,makecab.exe,,,,,,
forfiles.exe,,,mavinject.exe,,,,,,
gpscript.exe,,,mshta.exe,,,,,,
hh.exe,,,powershell.exe,,,,,,
ie4uinit.exe,,,print.exe,,,,,,
ieexec.exe,,,reg.exe,,,,,,
infdefaultinstall.exe,,,regedit.exe,,,,,,
installutil.exe,,,rundll32.exe,,,,,,
mavinject.exe,,,sc.exe,,,,,,
msbuild.exe,,,wmic.exe,,,,,,
msconfig.exe,,,wscript.exe,,,,,,
msdt.exe,,,xwizard.exe,,,,,,
mshta.exe,,,,,,,,,
msiexec.exe,,,,,,,,,
netsh.exe,,,,,,,,,
odbcconf.exe,,,,,,,,,
openwith.exe,,,,,,,,,
pcalua.exe,,,,,,,,,
pcwrun.exe,,,,,,,,,
powershell.exe,,,,,,,,,
presentationhost.exe,,,,,,,,,
psr.exe,,,,,,,,,
regasm.exe,,,,,,,,,
register-cimprovider.exe,,,,,,,,,
regsvcs.exe,,,,,,,,,
regsvr32.exe,,,,,,,,,
rundll32.exe,,,,,,,,,
runonce.exe,,,,,,,,,
runscripthelper.exe,,,,,,,,,
sc.exe,,,,,,,,,
scripthelper.exe,,,,,,,,,
syncappvpublishingserver.exe,,,,,,,,,
wab.exe,,,,,,,,,
wmic.exe,,,,,,,,,
wscript.exe,,,,,,,,,
xwizard.exe,,,,,,,,,